Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
42565.68,20180506_0839_49,67.12,515.59,582.71,0.2570,0.0029,0.0270,20180427_0819_14,20180506_0839_49,4,67.12,87.16,99.86,511.74,513.13,515.59,582.71,600.28,611.60
42618.89,20180506_0839_50,67.12,515.56,582.68,0.2414,0.0032,0.0306,20180427_0819_14,20180506_0839_50,4,67.12,87.16,99.85,511.74,513.11,515.56,582.68,600.27,611.59
42672.16,20180506_0839_50,66.96,515.56,582.52,0.4660,0.0032,0.0564,20180427_0819_14,20180506_0839_50,4,66.96,87.01,99.85,511.77,513.12,515.56,582.52,600.13,611.62
42725.50,20180506_0839_50,66.96,515.56,582.52,0.4391,0.0032,0.0533,20180427_0819_14,20180506_0839_50,4,66.96,87.01,99.85,511.77,513.12,515.56,582.52,600.13,611.62
42778.91,20180506_0839_50,66.96,515.57,582.53,0.4122,0.0013,0.0485,20180427_0819_14,20180506_0839_50,4,66.96,86.92,99.85,511.77,513.15,515.57,582.53,600.07,611.62
42832.38,20180506_0839_50,66.86,515.57,582.43,0.5354,0.0014,0.0627,20180427_0819_14,20180506_0839_50,4,66.86,86.85,99.85,511.77,513.16,515.57,582.43,600.01,611.62
42885.92,20180506_0839_50,66.86,515.57,582.43,0.5010,0.0015,0.0588,20180427_0819_14,20180506_0839_50,4,66.86,86.85,99.85,511.82,513.17,515.57,582.43,600.02,611.67
42939.53,20180506_0839_50,66.86,515.64,582.50,0.4666,0.0121,0.0428,20180427_0819_15,20180506_0839_50,4,66.86,86.71,99.55,511.82,513.19,515.64,582.50,599.90,611.37
42993.20,20180506_0839_50,66.80,515.64,582.44,0.5225,0.0114,0.0498,20180427_0819_15,20180506_0839_50,4,66.80,86.57,99.55,511.88,513.20,515.64,582.44,599.78,611.43
43046.94,20180506_0839_50,66.80,515.64,582.44,0.4835,0.0108,0.0459,20180427_0819_15,20180506_0839_50,4,66.80,86.50,99.26,511.88,513.22,515.64,582.44,599.72,611.14
43100.75,20180506_0839_50,66.80,515.62,582.42,0.4446,0.0064,0.0453,20180427_0819_15,20180506_0839_50,4,66.80,86.50,99.26,511.88,513.22,515.62,582.42,599.72,611.14
43154.63,20180506_0839_50,66.73,515.62,582.35,0.5110,0.0061,0.0531,20180427_0819_15,20180506_0839_50,4,66.73,86.44,99.26,511.85,513.23,515.62,582.35,599.67,611.11
43208.57,20180506_0839_50,66.73,515.62,582.35,0.4668,0.0058,0.0483,20180427_0819_15,20180506_0839_50,4,66.73,86.44,99.25,511.85,513.23,515.62,582.35,599.67,611.10
43262.58,20180506_0839_50,66.73,515.66,582.39,0.4226,0.0133,0.0367,20180427_0819_15,20180506_0839_50,4,66.73,86.37,99.25,511.85,513.25,515.66,582.39,599.62,611.10
43316.66,20180506_0839_51,66.73,515.66,582.39,0.3806,0.0126,0.0324,20180427_0819_15,20180506_0839_51,4,66.73,86.22,99.25,511.80,513.26,515.66,582.39,599.48,611.05
43370.81,20180506_0839_51,66.73,515.66,582.39,0.3387,0.0119,0.0282,20180427_0819_15,20180506_0839_51,4,66.73,86.14,99.23,511.80,513.26,515.66,582.39,599.39,611.03
43425.02,20180506_0839_51,66.73,515.66,582.39,0.2967,0.0110,0.0242,20180427_0819_15,20180506_0839_51,4,66.73,86.14,99.23,511.80,513.25,515.66,582.39,599.39,611.03
43479.30,20180506_0839_51,66.72,515.66,582.38,0.2743,0.0102,0.0224,20180427_0819_15,20180506_0839_51,4,66.72,86.13,99.23,511.87,513.29,515.66,582.38,599.42,611.10
43533.65,20180506_0839_51,66.72,515.66,582.38,0.2361,0.0093,0.0188,20180427_0819_15,20180506_0839_51,4,66.72,86.12,99.22,511.87,513.29,515.66,582.38,599.41,611.09
43588.07,20180506_0839_51,66.72,515.63,582.35,0.1978,0.0028,0.0202,20180427_0819_15,20180506_0839_51,4,66.72,86.12,99.22,511.87,513.28,515.63,582.35,599.40,611.09
43642.56,20180506_0839_51,66.71,515.63,582.34,0.1829,0.0024,0.0188,20180427_0819_16,20180506_0839_51,4,66.71,85.99,99.22,511.88,513.30,515.63,582.34,599.29,611.10
43697.11,20180506_0839_51,66.71,515.63,582.34,0.1522,0.0020,0.0156,20180427_0819_16,20180506_0839_51,4,66.71,85.93,99.00,511.88,513.30,515.63,582.34,599.23,610.88
43751.73,20180506_0839_51,66.71,515.63,582.34,0.1214,0.0014,0.0127,20180427_0819_16,20180506_0839_51,4,66.71,85.93,99.00,511.88,513.30,515.63,582.34,599.23,610.88
43806.42,20180506_0839_51,66.71,515.63,582.34,0.1027,0.0007,0.0112,20180427_0819_16,20180506_0839_51,4,66.71,85.91,99.00,511.87,513.30,515.63,582.34,599.20,610.87
43861.18,20180506_0839_51,66.71,515.63,582.34,0.0839,0.0000,0.0096,20180427_0819_16,20180506_0839_51,4,66.71,85.81,98.62,511.87,513.32,515.63,582.34,599.13,610.49
43916.01,20180506_0839_51,66.71,515.64,582.35,0.0652,0.0014,0.0063,20180427_0819_16,20180506_0839_51,4,66.71,85.71,98.62,511.87,513.33,515.64,582.35,599.04,610.49
43970.91,20180506_0839_51,66.71,515.64,582.35,0.0540,0.0007,0.0056,20180427_0819_16,20180506_0839_51,4,66.71,85.71,98.62,511.87,513.34,515.64,582.35,599.05,610.49
