BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
0,0,65.03,505.48,570.51,0,0,0,0,0
0,0,64.95,505.47,570.42,0,0,0,0,0
0,0,64.95,505.47,570.42,0,0,0,0,0
0,0,64.91,505.47,570.38,0,0,0,0,0
0,0,64.91,505.5,570.41,0,0,0,0,0
0,0,64.91,505.496666666667,570.406666666667,0,0,0,0,0
0,0,64.9033333333333,505.49,570.393333333333,0,0,0,0,0
0,0,64.9,505.48,570.38,0,0,0,0,0
0,0,64.8933333333333,505.46,570.353333333333,0,0,0,0,0
0,0,64.8933333333333,505.48,570.373333333333,0,0,0,0,0
0,0,64.9,505.49,570.39,0,0,0,0,0
0,0,64.9066666666667,505.56,570.466666666667,0,0,0,0,0
0,0,64.91,505.543333333333,570.453333333333,0,0,0,0,0
0,0,64.9033333333333,505.51,570.413333333333,0,0,0,0,0
0,0,64.9,505.51,570.41,0,0,0,0,0
0,0,64.9,505.51,570.41,0,0,0,0,0
0,0,64.9,505.53,570.43,0,0,0,0,0
0,0,64.9,505.53,570.43,0,0,0,0,0
0,0,64.9,505.55,570.45,0,0,0,0,0
0,0,64.9,505.546666666667,570.446666666667,0,0,0,0,0
0,0,64.89,505.54,570.43,0,0,0,0,0
0,0,64.89,505.506666666667,570.396666666667,0,0,0,0,0
0,0,64.87,505.49,570.36,0,0,0,0,0
0,0,64.87,505.56,570.43,0,0,0,0,0
0,0,64.86,505.536666666667,570.396666666667,0,0,0,0,0
0,0,64.8133333333333,505.49,570.303333333333,0,0,0,0,0
0,0,64.79,505.526666666667,570.316666666667,0,0,0,0,0
0,0,64.7433333333333,505.6,570.343333333333,0,0,0,0,0
0,0,64.72,505.603333333333,570.323333333333,0,0,0,0,0
0,0,64.7333333333333,505.61,570.343333333333,0,0,0,0,0
0,0,64.6833333333333,505.6,570.283333333333,0,0,0,0,0
0,0,64.57,505.603333333333,570.173333333333,0,0,0,0,0
0,0,64.5366666666666,505.61,570.146666666667,0,0,0,0,0
0,0,64.52,505.606666666667,570.126666666667,0,0,0,0,0
0,0,64.4466666666667,505.6,570.046666666667,0,0,0,0,0
0,0,64.41,505.613333333333,570.023333333333,0,0,0,0,0
0,0,64.37,505.62,569.99,0,0,0,0,0
0,0,64.35,505.62,569.97,0,0,0,0,0
0,0,64.34,505.633333333333,569.973333333333,0,0,0,0,0
0,0,64.3333333333333,505.66,569.993333333333,0,0,0,0,0
0,0,64.33,505.653333333333,569.983333333333,0,0,0,0,0
0,0,64.38,505.64,570.02,0,0,0,0,0
0,0,64.39,505.69,570.08,0,0,0,0,0
0,0,64.41,505.69,570.1,0,0,0,0,0
0,0,64.4833333333333,505.74,570.223333333333,0,0,0,0,0
0,0,64.63,505.763333333333,570.393333333333,0,0,0,0,0
0,0,64.7833333333333,505.81,570.593333333333,0,0,0,0,0
0,0,64.86,505.803333333333,570.663333333333,0,0,0,0,0
0,0,64.9,505.8,570.7,0,0,0,0,0
0,0,64.9,505.786666666667,570.686666666667,0,0,0,0,0
0,0,64.9,505.78,570.68,0,0,0,0,0
0,0,64.93,505.88,570.81,0,0,0,0,0
0,0,64.99,505.876666666667,570.866666666667,0,0,0,0,0
0,0,65.4,505.87,571.27,0,0,0,0,0
0,0,65.4,505.89,571.29,0,0,0,0,0
0,0,65.52,505.9,571.42,0,0,0,0,0
0,0,65.71,505.933333333333,571.643333333333,0,0,0,0,0
0,0,66.09,505.933333333333,572.023333333333,0,0,0,0,0
0,0,66.1366666666667,505.9,572.036666666667,0,0,0,0,0
0,0,66.16,505.933333333333,572.093333333333,0,0,0,0,0
0,0,66.77,505.95,572.72,0,0,0,0,0
0,0,66.98,506.016666666667,572.996666666667,0,0,0,0,0
0,0,67.4,506.05,573.45,0,0,0,0,0
0,0,67.4,506.06,573.46,0,0,0,0,0
0,0,67.4,506.06,573.46,0,0,0,0,0
0,0,67.6066666666667,506.05,573.656666666667,0,0,0,0,0
0,0,68.02,506.063333333333,574.083333333333,0,0,0,0,0
0,0,68.54,506.09,574.63,0,0,0,0,0
0,0,68.5733333333333,506.03,574.603333333333,0,0,0,0,0
0,0,68.64,506.03,574.67,0,0,0,0,0
0,0,68.65,506.06,574.71,0,0,0,0,0
0,0,68.67,506.06,574.73,0,0,0,0,0
0,0,69.03,506.07,575.1,0,0,0,0,0
0,0,69.21,506.096666666667,575.306666666667,0,0,0,0,0
0,0,69.29,506.11,575.4,0,0,0,0,0
0,0,69.29,506.096666666667,575.386666666667,0,0,0,0,0
0,0,69.42,506.09,575.51,0,0,0,0,0
0,0,69.5266666666667,506.06,575.586666666667,0,0,0,0,0
0,0,69.74,506.06,575.8,0,0,0,0,0
0,0,69.82,506.06,575.88,0,0,0,0,0
0,0,69.86,506.08,575.94,0,0,0,0,0
0,0,69.89,506.09,575.98,0,0,0,0,0
0,0,69.89,506.09,575.98,0,0,0,0,0
0,0,69.89,506.073333333333,575.963333333333,0,0,0,0,0
0,0,69.8833333333333,506.04,575.923333333333,0,0,0,0,0
0,0,69.88,506.06,575.94,0,0,0,0,0
0,0,69.89,506.1,575.99,0,0,0,0,0
0,0,69.89,506.12,576.01,0,0,0,0,0
0,0,69.89,506.13,576.02,0,0,0,0,0
0,0,69.89,506.13,576.02,0,0,0,0,0
0,0,69.89,506.13,576.02,0,0,0,0,0
0,0,69.89,506.09,575.98,0,0,0,0,0
0,0,69.89,506.103333333333,575.993333333333,0,0,0,0,0
0,0,69.89,506.13,576.02,0,0,0,0,0
0,0,69.89,506.116666666667,576.006666666667,0,0,0,0,0
0,0,69.89,506.11,576,0,0,0,0,0
0,0,69.9,506.15,576.05,0,0,0,0,0
0,0,69.92,506.15,576.07,0,0,0,0,0
0,0,70.0133333333333,506.09,576.103333333333,0,0,0,0,0
0,0,70.06,506.11,576.17,0,0,0,0,0
0,0,70.38,506.12,576.5,0,0,0,0,0
0,0,70.38,506.12,576.5,0,0,0,0,0
0,0,70.51,506.12,576.63,0,0,0,0,0
0,0,70.5133333333333,506.12,576.633333333333,0,0,0,0,0
0,0,70.52,506.116666666667,576.636666666667,0,0,0,0,0
0,0,70.5133333333333,506.11,576.623333333333,0,0,0,0,0
0,0,70.51,506.123333333333,576.633333333333,0,0,0,0,0
0,0,70.5233333333333,506.15,576.673333333333,0,0,0,0,0
0,0,70.53,506.136666666667,576.666666666667,0,0,0,0,0
0,0,70.82,506.11,576.93,0,0,0,0,0
0,0,70.9233333333333,506.14,577.063333333333,0,0,0,0,0
0,0,71.13,506.15,577.28,0,0,0,0,0
0,0,71.1433333333333,506.17,577.313333333333,0,0,0,0,0
0,0,71.15,506.16,577.31,0,0,0,0,0
0,0,71.15,506.14,577.29,0,0,0,0,0
0,0,71.19,506.1,577.29,0,0,0,0,0
0,0,71.27,506.1,577.37,0,0,0,0,0
0,0,71.55,506.17,577.72,0,0,0,0,0
0,0,71.69,506.17,577.86,0,0,0,0,0
0,0,71.77,506.17,577.94,0,0,0,0,0
0,0,71.7733333333333,506.21,577.983333333333,0,0,0,0,0
0,0,71.78,506.21,577.99,0,0,0,0,0
0,0,71.7733333333333,506.12,577.893333333333,0,0,0,0,0
0,0,71.76,506.126666666667,577.886666666667,0,0,0,0,0
0,0,71.7666666666667,506.14,577.906666666667,0,0,0,0,0
0,0,71.77,506.113333333333,577.883333333333,0,0,0,0,0
0,0,71.76,506.1,577.86,0,0,0,0,0
0,0,71.7633333333333,506.14,577.903333333333,0,0,0,0,0
0,0,71.77,506.133333333333,577.903333333333,0,0,0,0,0
0,0,71.7633333333333,506.12,577.883333333333,0,0,0,0,0
0,0,71.76,506.153333333333,577.913333333333,0,0,0,0,0
0,0,71.77,506.17,577.94,0,0,0,0,0
0,0,71.7666666666667,506.11,577.876666666667,0,0,0,0,0
0,0,71.76,506.11,577.87,0,0,0,0,0
0,0,71.76,506.1,577.86,0,0,0,0,0
0,0,71.76,506.116666666667,577.876666666667,0,0,0,0,0
0,0,71.78,506.15,577.93,0,0,0,0,0
0,0,71.78,506.17,577.95,0,0,0,0,0
0,0,71.8,506.18,577.98,0,0,0,0,0
0,0,71.8,506.186666666667,577.986666666667,0,0,0,0,0
0,0,71.81,506.19,578,0,0,0,0,0
0,0,71.8366666666667,506.19,578.026666666667,0,0,0,0,0
0,0,71.85,506.176666666667,578.026666666667,0,0,0,0,0
0,0,71.93,506.17,578.1,0,0,0,0,0
0,0,71.93,506.13,578.06,0,0,0,0,0
0,0,71.94,506.11,578.05,0,0,0,0,0
0,0,72.01,506.18,578.19,0,0,0,0,0
0,0,72.15,506.176666666667,578.326666666667,0,0,0,0,0
0,0,72.25,506.17,578.42,0,0,0,0,0
0,0,72.3,506.136666666667,578.436666666667,0,0,0,0,0
0,0,72.3533333333333,506.07,578.423333333333,0,0,0,0,0
0,0,72.3833333333333,506.15,578.533333333333,0,0,0,0,0
0,0,72.39,506.15,578.54,0,0,0,0,0
0,0,72.3833333333333,506.02,578.403333333333,0,0,0,0,0
0,0,72.37,506.02,578.39,0,0,0,0,0
0,0,72.3833333333333,506.1,578.483333333333,0,0,0,0,0
0,0,72.43,506.126666666667,578.556666666667,0,0,0,0,0
0,0,72.51,506.14,578.65,0,0,0,0,0
0,0,72.6266666666667,506.13,578.756666666667,0,0,0,0,0
0,0,72.86,506.13,578.99,0,0,0,0,0
0,0,72.96,506.19,579.15,0,0,0,0,0
0,0,73.01,506.21,579.22,0,0,0,0,0
0,0,73.02,506.22,579.24,0,0,0,0,0
0,0,73.0233333333333,506.23,579.253333333333,0,0,0,0,0
0,0,73.03,506.23,579.26,0,0,0,0,0
0,0,73.0966666666667,506.21,579.306666666667,0,0,0,0,0
0,0,73.23,506.19,579.42,0,0,0,0,0
0,0,73.58,506.18,579.76,0,0,0,0,0
0,0,73.6,506.19,579.79,0,0,0,0,0
0,0,73.64,506.19,579.83,0,0,0,0,0
0,0,73.64,506.18,579.82,0,0,0,0,0
0,0,73.64,506.24,579.88,0,0,0,0,0
0,0,73.64,506.27,579.91,0,0,0,0,0
0,0,73.6466666666667,506.23,579.876666666667,0,0,0,0,0
0,0,73.66,506.23,579.89,0,0,0,0,0
0,0,73.7866666666667,506.17,579.956666666667,0,0,0,0,0
0,0,73.85,506.216666666667,580.066666666667,0,0,0,0,0
0,0,74.2,506.24,580.44,0,0,0,0,0
0,0,74.2,506.28,580.48,0,0,0,0,0
0,0,74.25,506.28,580.53,0,0,0,0,0
0,0,74.2566666666667,506.38,580.636666666667,0,0,0,0,0
0,0,74.27,506.343333333333,580.613333333333,0,0,0,0,0
0,0,74.68,506.24,580.92,0,0,0,0,0
0,0,74.6,506.24,580.84,0,0,0,0,0
0,0,74.6,506.306666666667,580.906666666667,0,0,0,0,0
0,0,74.68,506.34,581.02,0,0,0,0,0
0,0,74.7733333333333,506.21,580.983333333333,0,0,0,0,0
0,0,74.82,506.243333333333,581.063333333333,0,0,0,0,0
0,0,74.88,506.26,581.14,0,0,0,0,0
0,0,74.88,506.286666666667,581.166666666667,0,0,0,0,0
0,0,74.89,506.3,581.19,0,0,0,0,0
0,0,74.89,506.33,581.22,0,0,0,0,0
0,0,74.89,506.34,581.23,0,0,0,0,0
0,0,74.89,506.36,581.25,0,0,0,0,0
0,0,74.89,506.386666666667,581.276666666667,0,0,0,0,0
0,0,74.9,506.4,581.3,0,0,0,0,0
0,0,74.8966666666667,506.36,581.256666666667,0,0,0,0,0
0,0,74.89,506.396666666667,581.286666666667,0,0,0,0,0
0,0,74.9,506.47,581.37,0,0,0,0,0
0,0,74.9,506.463333333333,581.363333333333,0,0,0,0,0
0,0,74.89,506.46,581.35,0,0,0,0,0
0,0,74.9,506.44,581.34,0,0,0,0,0
