Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
42565.68,20180509_0933_21,125.70,536.95,662.65,0.7084,0.0014,0.1355,20180425_0817_34,20180509_0933_21,10,109.04,129.42,153.95,532.23,535.35,537.02,645.76,664.76,686.63
42618.89,20180509_0933_21,125.70,536.96,662.66,0.6504,0.0004,0.1231,20180425_0817_34,20180509_0933_21,10,108.92,129.35,153.95,532.23,535.35,537.02,645.64,664.70,686.63
42672.16,20180509_0933_21,125.68,536.96,662.64,0.6178,0.0002,0.1170,20180425_0817_34,20180509_0933_21,10,108.92,129.28,153.71,532.29,535.36,537.02,645.64,664.64,686.39
42725.50,20180509_0933_21,125.68,536.96,662.64,0.5685,0.0000,0.1078,20180425_0817_34,20180509_0933_21,10,108.92,129.27,153.71,532.29,535.38,537.04,645.72,664.66,686.39
42778.91,20180509_0933_21,125.68,536.96,662.64,0.5192,0.0000,0.0985,20180425_0817_34,20180509_0933_21,10,108.89,129.26,153.71,532.29,535.39,537.06,645.69,664.65,686.41
42832.38,20180509_0933_21,125.68,536.96,662.64,0.4694,0.0000,0.0890,20180425_0817_34,20180509_0933_21,10,108.89,129.17,153.31,532.26,535.39,537.06,645.69,664.55,686.01
42885.92,20180509_0933_22,125.56,536.96,662.52,0.5157,0.0000,0.0977,20180425_0817_34,20180509_0933_22,10,108.89,129.11,153.31,532.26,535.39,537.06,645.72,664.50,686.01
42939.53,20180509_0933_22,125.56,536.96,662.52,0.4611,0.0000,0.0874,20180425_0817_34,20180509_0933_22,10,108.86,129.11,153.31,532.26,535.39,537.07,645.69,664.50,686.01
42993.20,20180509_0933_22,125.56,536.96,662.52,0.4074,0.0000,0.0772,20180425_0817_34,20180509_0933_22,10,108.86,129.06,153.10,532.22,535.39,537.07,645.69,664.45,685.80
43046.94,20180509_0933_22,125.06,536.96,662.02,0.7548,0.0000,0.1426,20180425_0817_34,20180509_0933_22,10,108.86,128.91,153.10,532.22,535.39,537.07,645.75,664.30,685.80
43100.75,20180509_0933_22,125.06,536.96,662.02,0.6809,0.0001,0.1287,20180425_0817_34,20180509_0933_22,10,108.79,128.90,153.10,532.22,535.39,537.11,645.68,664.29,685.77
43154.63,20180509_0933_22,125.06,536.95,662.01,0.6257,0.0020,0.1199,20180425_0817_34,20180509_0933_22,10,108.79,128.84,153.08,532.26,535.40,537.11,645.68,664.24,685.75
43208.57,20180509_0933_22,125.06,536.95,662.01,0.5705,0.0020,0.1094,20180425_0817_34,20180509_0933_22,10,108.79,128.82,153.08,532.26,535.39,537.11,645.70,664.21,685.75
43262.58,20180509_0933_22,125.06,536.95,662.01,0.5154,0.0018,0.0988,20180425_0817_35,20180509_0933_22,10,108.51,128.76,153.08,532.26,535.40,537.11,645.42,664.16,685.75
43316.66,20180509_0933_22,125.06,536.96,662.02,0.4654,0.0004,0.0876,20180425_0817_35,20180509_0933_22,10,108.51,128.69,153.08,532.19,535.40,537.11,645.42,664.09,685.80
43370.81,20180509_0933_22,125.01,536.96,661.97,0.4556,0.0006,0.0856,20180425_0817_35,20180509_0933_22,10,108.51,128.64,153.07,532.19,535.41,537.11,645.43,664.04,685.79
43425.02,20180509_0933_22,125.01,536.96,661.97,0.4036,0.0006,0.0758,20180425_0817_35,20180509_0933_22,10,108.28,128.49,153.07,532.19,535.42,537.19,645.20,663.91,685.79
43479.30,20180509_0933_22,125.01,536.96,661.97,0.3584,0.0006,0.0672,20180425_0817_35,20180509_0933_22,10,108.28,128.49,153.07,532.32,535.43,537.19,645.20,663.92,685.81
43533.65,20180509_0933_22,124.68,536.96,661.64,0.5787,0.0006,0.1086,20180425_0817_35,20180509_0933_22,10,108.28,128.34,152.52,532.32,535.44,537.19,645.21,663.78,685.26
43588.07,20180509_0933_22,124.68,536.96,661.64,0.5201,0.0005,0.0976,20180425_0817_35,20180509_0933_22,10,108.26,128.33,152.52,532.32,535.45,537.30,645.19,663.78,685.26
43642.56,20180509_0933_23,124.68,536.96,661.64,0.4792,0.0004,0.0900,20180425_0817_35,20180509_0933_23,10,108.26,128.32,152.47,532.28,535.46,537.30,645.19,663.77,685.18
43697.11,20180509_0933_23,124.48,536.96,661.44,0.5997,0.0003,0.1126,20180425_0817_35,20180509_0933_23,10,108.26,128.25,152.47,532.28,535.46,537.30,645.18,663.71,685.18
43751.73,20180509_0933_23,124.48,536.96,661.44,0.5507,0.0003,0.1034,20180425_0817_35,20180509_0933_23,10,108.26,128.24,152.47,532.28,535.48,537.51,645.18,663.73,685.18
43806.42,20180509_0933_23,124.48,536.95,661.43,0.5025,0.0016,0.0959,20180425_0817_35,20180509_0933_23,10,108.23,128.16,152.47,532.27,535.48,537.51,645.15,663.65,685.19
43861.18,20180509_0933_23,124.43,536.95,661.38,0.4947,0.0015,0.0943,20180425_0817_35,20180509_0933_23,10,108.23,128.13,152.24,532.27,535.49,537.51,645.15,663.62,684.96
43916.01,20180509_0933_23,124.43,536.95,661.38,0.4444,0.0014,0.0847,20180425_0817_35,20180509_0933_23,10,107.69,128.01,152.24,532.27,535.50,537.50,644.61,663.51,684.96
43970.91,20180509_0933_23,124.43,536.97,661.40,0.3942,0.0024,0.0722,20180425_0817_36,20180509_0933_23,10,107.69,127.99,152.24,532.26,535.51,537.50,644.61,663.50,685.02
44025.87,20180509_0933_23,124.44,536.97,661.41,0.3407,0.0023,0.0622,20180425_0817_36,20180509_0933_23,10,107.69,127.92,151.86,532.26,535.52,537.50,644.62,663.44,684.64
44080.90,20180509_0933_23,124.44,536.97,661.41,0.2957,0.0022,0.0538,20180425_0817_36,20180509_0933_23,10,107.63,127.83,151.86,532.26,535.53,537.46,644.56,663.36,684.64
44136.00,20180509_0933_23,124.44,536.97,661.41,0.2507,0.0021,0.0454,20180425_0817_36,20180509_0933_23,10,107.63,127.76,151.86,532.36,535.54,537.46,644.56,663.30,684.60
44191.17,20180509_0933_23,124.37,536.97,661.34,0.2822,0.0020,0.0514,20180425_0817_36,20180509_0933_23,10,107.63,127.63,151.43,532.36,535.55,537.46,644.58,663.18,684.17
44246.41,20180509_0933_23,124.37,536.97,661.34,0.2545,0.0019,0.0463,20180425_0817_36,20180509_0933_23,10,107.52,127.57,151.43,532.36,535.56,537.29,644.47,663.13,684.17
44301.72,20180509_0933_23,124.37,536.99,661.36,0.2267,0.0055,0.0382,20180425_0817_36,20180509_0933_23,10,107.52,127.52,151.43,532.42,535.57,537.29,644.47,663.09,684.21
44357.10,20180509_0933_23,123.90,536.99,660.89,0.5791,0.0051,0.1044,20180425_0817_36,20180509_0933_23,10,107.52,127.45,151.24,532.42,535.59,537.29,644.46,663.04,684.02
44412.55,20180509_0933_24,123.90,536.99,660.89,0.5323,0.0048,0.0959,20180425_0817_36,20180509_0933_24,10,107.09,127.41,151.24,532.42,535.59,537.26,644.03,663.00,684.02
44468.07,20180509_0933_24,123.90,536.99,660.89,0.4855,0.0045,0.0874,20180425_0817_36,20180509_0933_24,10,107.09,127.38,151.24,532.54,535.61,537.26,644.03,662.99,684.02
44523.66,20180509_0933_24,123.90,537.00,660.90,0.4407,0.0060,0.0777,20180425_0817_36,20180509_0933_24,10,107.09,127.38,151.24,532.54,535.62,537.26,644.03,663.00,684.07
44579.31,20180509_0933_24,123.82,537.00,660.82,0.4608,0.0057,0.0817,20180425_0817_36,20180509_0933_24,10,107.01,127.34,151.00,532.54,535.63,537.45,643.95,662.97,683.83
