#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A7FEC1
#Date Time: 2018-10-04 17:09:25.035
#Sample rate: 5000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 3 kHz
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.81905986547085208,-0.18114697453611894
-0.81885986547085199,0.42132848426668662
-0.81865986547085201,-0.50376938344248612
-0.81845986547085203,0.39101948969344025
-0.81825986547085205,-0.13130551679275534
-0.81805986547085208,-0.18081020792974486
-0.81785986547085199,0.42166525087306056
-0.81765986547085201,-0.50376938344248612
-0.81745986547085203,0.39101948969344025
-0.81725986547085205,-0.13130551679275534
-0.81705986547085208,-0.18114697453611894
-0.81685986547085199,0.42166525087306056
-0.81665986547085201,-0.50376938344248612
-0.81645986547085203,0.39101948969344025
-0.81625986547085205,-0.13130551679275534
-0.81605986547085207,-0.18114697453611894
-0.81585986547085199,0.42166525087306056
-0.81565986547085201,-0.50376938344248612
-0.81545986547085203,0.39101948969344025
-0.81525986547085205,-0.13130551679275534
-0.81505986547085207,-0.18114697453611894
-0.81485986547085199,0.42166525087306056
-0.81465986547085201,-0.50376938344248612
-0.81445986547085203,0.39101948969344025
-0.81425986547085205,-0.13130551679275534
-0.81405986547085207,-0.18081020792974486
-0.81385986547085198,0.42166525087306056
-0.81365986547085201,-0.50376938344248612
-0.81345986547085203,0.39101948969344025
-0.81325986547085205,-0.13130551679275534
-0.81305986547085207,-0.18081020792974486
-0.81285986547085198,0.42166525087306073
-0.81265986547085201,-0.50343261683611207
-0.81245986547085203,0.39101948969344025
-0.81225986547085205,-0.13130551679275534
-0.81205986547085207,-0.18081020792974486
-0.81185986547085209,0.42166525087320739
-0.811659865470852,-0.50410615004886017
-0.81145986547085203,0.39101948969344025
-0.81125986547085205,-0.13130551679275534
-0.81105986547085207,-0.18081020792974486
-0.81085986547085209,0.42166525087320739
-0.810659865470852,-0.50376938344248612
-0.81045986547085203,0.3906827230870662
-0.81025986547085205,-0.13130551679275534
-0.81005986547085207,-0.18114697453611894
-0.80985986547085209,0.42166525087320728
-0.809659865470852,-0.50376938344248612
-0.80945986547085202,0.39101948969344025
-0.80925986547085205,-0.13130551679275534
-0.80905986547085207,-0.18081020792974486
-0.80885986547085209,0.42166525087320739
-0.808659865470852,-0.50410615004886017
-0.80845986547085202,0.39101948969344025
-0.80825986547085205,-0.13130551679275534
-0.80805986547085207,-0.18081020792974486
-0.80785986547085209,0.42166525087320739
-0.807659865470852,-0.50376938344248612
-0.80745986547085202,0.39101948969344025
-0.80725986547085204,-0.13130551679275534
-0.80705986547085207,-0.18081020792974486
-0.80685986547085209,0.42166525087320739
-0.806659865470852,-0.50376938344248612
-0.80645986547085202,0.39101948969344025
-0.80625986547085204,-0.13130551679275534
-0.80605986547085207,-0.18081020792974486
-0.80585986547085209,0.42166525087320739
-0.805659865470852,-0.50376938344248612
-0.80545986547085202,0.39101948969344025
-0.80525986547085204,-0.13130551679275534
-0.80505986547085207,-0.18081020792974486
-0.80485986547085209,0.42166525087320739
-0.804659865470852,-0.50376938344248612
-0.80445986547085202,0.39101948969344025
-0.80425986547085204,-0.13164228339912942
-0.80405986547085206,-0.18081020792974486
-0.80385986547085209,0.42166525087320739
-0.803659865470852,-0.50376938344248612
-0.80345986547085202,0.39101948969344025
-0.80325986547085204,-0.13164228339912942
-0.80305986547085206,-0.18081020792974486
