Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
42565.68,20180507_1656_33,94.96,498.88,593.84,0.0685,0.0007,0.0104,20180425_0817_34,20180507_1656_33,8,94.96,125.56,153.95,498.88,530.46,537.02,593.84,656.02,686.63
42618.89,20180507_1656_33,94.96,498.88,593.84,0.0648,0.0011,0.0094,20180425_0817_34,20180507_1656_33,8,94.96,125.48,153.95,498.88,530.46,536.99,593.84,655.94,686.63
42672.16,20180507_1656_33,95.16,498.88,594.04,0.2711,0.0015,0.0422,20180425_0817_34,20180507_1656_33,8,95.16,125.48,153.71,498.88,530.47,536.99,594.04,655.94,686.39
42725.50,20180507_1656_33,95.16,498.88,594.04,0.2569,0.0013,0.0401,20180425_0817_34,20180507_1656_33,8,95.16,125.47,153.71,498.88,530.49,537.04,594.04,655.96,686.39
42778.91,20180507_1656_33,95.16,498.88,594.04,0.2428,0.0011,0.0380,20180425_0817_34,20180507_1656_33,8,95.16,125.45,153.71,498.88,530.50,537.04,594.04,655.95,686.41
42832.38,20180507_1656_33,95.49,498.88,594.37,0.5734,0.0009,0.0914,20180425_0817_34,20180507_1656_33,8,95.49,125.38,153.31,498.88,530.49,537.04,594.37,655.88,686.01
42885.92,20180507_1656_34,95.49,498.88,594.37,0.5419,0.0006,0.0866,20180425_0817_34,20180507_1656_34,8,95.49,125.32,153.31,498.88,530.50,537.04,594.37,655.83,686.01
42939.53,20180507_1656_34,95.49,498.88,594.37,0.5105,0.0003,0.0818,20180425_0817_34,20180507_1656_34,8,95.49,125.32,153.31,498.88,530.50,537.01,594.37,655.82,686.01
42993.20,20180507_1656_34,95.49,498.90,594.39,0.4791,0.0040,0.0803,20180425_0817_34,20180507_1656_34,8,95.49,125.28,153.10,498.90,530.50,537.01,594.39,655.78,685.80
43046.94,20180507_1656_34,95.52,498.90,594.42,0.4790,0.0041,0.0804,20180425_0817_34,20180507_1656_34,8,95.52,125.15,153.10,498.90,530.51,537.01,594.42,655.66,685.80
43100.75,20180507_1656_34,95.52,498.90,594.42,0.4460,0.0039,0.0749,20180425_0817_34,20180507_1656_34,8,95.52,125.14,153.10,498.90,530.50,536.99,594.42,655.64,685.77
43154.63,20180507_1656_34,95.52,498.90,594.42,0.4130,0.0037,0.0695,20180425_0817_34,20180507_1656_34,8,95.52,125.13,153.08,498.90,530.51,536.99,594.42,655.63,685.75
43208.57,20180507_1656_34,95.52,498.90,594.42,0.3800,0.0035,0.0640,20180425_0817_34,20180507_1656_34,8,95.52,125.10,153.08,498.90,530.50,536.99,594.42,655.60,685.75
43262.58,20180507_1656_34,95.52,498.90,594.42,0.3470,0.0032,0.0585,20180425_0817_35,20180507_1656_34,8,95.52,125.04,153.08,498.90,530.50,537.02,594.42,655.55,685.75
43316.66,20180507_1656_34,95.52,498.90,594.42,0.3141,0.0029,0.0529,20180425_0817_35,20180507_1656_34,8,95.52,124.98,153.08,498.90,530.50,537.02,594.42,655.49,685.80
43370.81,20180507_1656_34,95.52,498.90,594.42,0.2811,0.0026,0.0474,20180425_0817_35,20180507_1656_34,8,95.52,124.94,153.07,498.90,530.52,537.02,594.42,655.46,685.79
43425.02,20180507_1656_34,95.52,498.90,594.42,0.2481,0.0024,0.0419,20180425_0817_35,20180507_1656_34,8,95.52,124.78,153.07,498.90,530.52,537.01,594.42,655.30,685.79
43479.30,20180507_1656_34,95.52,498.91,594.43,0.2157,0.0042,0.0382,20180425_0817_35,20180507_1656_34,8,95.52,124.78,153.07,498.91,530.53,537.01,594.43,655.31,685.81
43533.65,20180507_1656_34,95.52,498.91,594.43,0.1832,0.0039,0.0327,20180425_0817_35,20180507_1656_34,8,95.52,124.64,152.52,498.91,530.54,537.01,594.43,655.18,685.26
43588.07,20180507_1656_34,95.52,498.91,594.43,0.1508,0.0036,0.0273,20180425_0817_35,20180507_1656_34,8,95.52,124.62,152.52,498.91,530.54,537.01,594.43,655.16,685.26
43642.56,20180507_1656_35,95.52,498.92,594.44,0.1214,0.0053,0.0240,20180425_0817_35,20180507_1656_35,8,95.52,124.61,152.47,498.92,530.54,537.01,594.44,655.16,685.18
43697.11,20180507_1656_35,95.52,498.92,594.44,0.0921,0.0049,0.0189,20180425_0817_35,20180507_1656_35,8,95.52,124.57,152.47,498.92,530.55,537.01,594.44,655.12,685.18
43751.73,20180507_1656_35,95.52,498.92,594.44,0.0628,0.0045,0.0139,20180425_0817_35,20180507_1656_35,8,95.52,124.56,152.47,498.92,530.55,537.02,594.44,655.11,685.18
43806.42,20180507_1656_35,95.52,498.94,594.46,0.0440,0.0081,0.0139,20180425_0817_35,20180507_1656_35,8,95.52,124.56,152.47,498.94,530.55,537.02,594.46,655.11,685.19
43861.18,20180507_1656_35,95.56,498.94,594.50,0.0670,0.0075,0.0171,20180425_0817_35,20180507_1656_35,8,95.56,124.53,152.24,498.94,530.56,537.02,594.50,655.09,684.96
43916.01,20180507_1656_35,95.56,498.94,594.50,0.0460,0.0069,0.0132,20180425_0817_35,20180507_1656_35,8,95.56,124.39,152.24,498.94,530.56,537.04,594.50,654.95,684.96
43970.91,20180507_1656_35,95.56,498.96,594.52,0.0424,0.0103,0.0155,20180425_0817_36,20180507_1656_35,8,95.56,124.39,152.24,498.96,530.57,537.04,594.52,654.96,685.02
44025.87,20180507_1656_35,95.68,498.96,594.64,0.1641,0.0095,0.0344,20180425_0817_36,20180507_1656_35,8,95.68,124.31,151.86,498.96,530.58,537.04,594.64,654.89,684.64
44080.90,20180507_1656_35,95.68,498.96,594.64,0.1542,0.0087,0.0321,20180425_0817_36,20180507_1656_35,8,95.68,124.26,151.86,498.96,530.59,537.10,594.64,654.85,684.64
44136.00,20180507_1656_35,95.68,498.98,594.66,0.1442,0.0121,0.0334,20180425_0817_36,20180507_1656_35,8,95.68,124.19,151.86,498.98,530.61,537.10,594.66,654.80,684.60
44191.17,20180507_1656_35,95.92,498.98,594.90,0.3857,0.0113,0.0717,20180425_0817_36,20180507_1656_35,8,95.92,124.07,151.43,498.98,530.62,537.14,594.90,654.70,684.17
44246.41,20180507_1656_35,95.92,498.98,594.90,0.3649,0.0105,0.0677,20180425_0817_36,20180507_1656_35,8,95.92,124.00,151.43,498.98,530.62,537.14,594.90,654.63,684.17
44301.72,20180507_1656_35,95.92,499.00,594.92,0.3440,0.0137,0.0670,20180425_0817_36,20180507_1656_35,8,95.92,124.00,151.43,499.00,530.64,537.14,594.92,654.64,684.21
44357.10,20180507_1656_35,96.08,499.00,595.08,0.4892,0.0127,0.0897,20180425_0817_36,20180507_1656_35,8,96.08,124.00,151.24,499.00,530.66,537.16,595.08,654.66,684.02
44412.55,20180507_1656_36,96.08,499.00,595.08,0.4600,0.0117,0.0841,20180425_0817_36,20180507_1656_36,8,96.08,123.94,151.24,499.00,530.66,537.16,595.08,654.60,684.02
44468.07,20180507_1656_36,96.08,499.02,595.10,0.4309,0.0147,0.0819,20180425_0817_36,20180507_1656_36,8,96.08,123.91,151.24,499.02,530.68,537.16,595.10,654.59,684.02
44523.66,20180507_1656_36,96.08,499.02,595.10,0.4018,0.0135,0.0762,20180425_0817_36,20180507_1656_36,8,96.08,123.91,151.24,499.02,530.69,537.15,595.10,654.60,684.07
44579.31,20180507_1656_36,96.14,499.02,595.16,0.4348,0.0123,0.0806,20180425_0817_36,20180507_1656_36,8,96.14,123.88,151.00,499.02,530.69,537.15,595.16,654.57,683.83
44635.03,20180507_1656_36,96.14,499.02,595.16,0.4025,0.0112,0.0744,20180425_0817_36,20180507_1656_36,8,96.14,123.81,151.00,499.02,530.70,537.15,595.16,654.51,683.83
44690.82,20180507_1656_36,96.14,499.04,595.18,0.3703,0.0141,0.0717,20180425_0817_36,20180507_1656_36,8,96.14,123.72,151.00,499.04,530.71,537.23,595.18,654.43,683.81
44746.68,20180507_1656_36,96.14,499.04,595.18,0.3380,0.0128,0.0654,20180425_0817_37,20180507_1656_36,8,96.14,123.64,150.63,499.04,530.71,537.23,595.18,654.36,683.44
44802.61,20180507_1656_36,96.14,499.04,595.18,0.3058,0.0116,0.0591,20180425_0817_37,20180507_1656_36,8,96.14,123.60,150.63,499.04,530.70,537.23,595.18,654.30,683.44
44858.61,20180507_1656_36,96.14,499.05,595.19,0.2736,0.0124,0.0546,20180425_0817_37,20180507_1656_36,8,96.14,123.60,150.63,499.05,530.71,537.33,595.19,654.31,683.38
44914.68,20180507_1656_36,96.14,499.05,595.19,0.2413,0.0111,0.0483,20180425_0817_37,20180507_1656_36,8,96.14,123.52,150.53,499.05,530.72,537.33,595.19,654.23,683.28
44970.82,20180507_1656_36,96.14,499.05,595.19,0.2091,0.0100,0.0422,20180425_0817_37,20180507_1656_36,8,96.14,123.51,150.53,499.05,530.73,537.33,595.19,654.24,683.28
45027.03,20180507_1656_36,96.14,499.08,595.22,0.1789,0.0149,0.0414,20180425_0817_37,20180507_1656_36,8,96.14,123.49,150.53,499.08,530.74,537.39,595.22,654.23,683.36
45083.31,20180507_1656_36,96.14,499.08,595.22,0.1487,0.0135,0.0354,20180425_0817_37,20180507_1656_36,8,96.14,123.37,150.22,499.08,530.74,537.39,595.22,654.11,683.05
45139.66,20180507_1656_36,96.14,499.08,595.22,0.1186,0.0123,0.0295,20180425_0817_37,20180507_1656_36,8,96.14,123.37,150.22,499.08,530.76,537.39,595.22,654.13,683.05
45196.08,20180507_1656_37,96.14,499.09,595.23,0.0947,0.0131,0.0263,20180425_0817_37,20180507_1656_37,8,96.14,123.36,150.22,499.09,530.74,537.39,595.23,654.10,682.90
45252.58,20180507_1656_37,96.14,499.09,595.23,0.0707,0.0118,0.0213,20180425_0817_37,20180507_1656_37,8,96.14,123.28,149.97,499.09,530.75,537.39,595.23,654.03,682.65
45309.15,20180507_1656_37,96.14,499.09,595.23,0.0468,0.0107,0.0166,20180425_0817_37,20180507_1656_37,8,96.14,123.28,149.97,499.09,530.75,537.39,595.23,654.03,682.71
45365.79,20180507_1656_37,96.14,499.09,595.23,0.0354,0.0096,0.0138,20180425_0817_37,20180507_1656_37,8,96.14,123.28,149.98,499.09,530.75,537.41,595.23,654.03,682.72
45422.50,20180507_1656_37,96.14,499.10,595.24,0.0239,0.0105,0.0127,20180425_0817_37,20180507_1656_37,8,96.14,123.07,149.98,499.10,530.75,537.41,595.24,653.82,682.72
45479.28,20180507_1656_37,96.14,499.10,595.24,0.0125,0.0095,0.0100,20180425_0817_38,20180507_1656_37,8,96.14,123.07,149.98,499.10,530.74,537.41,595.24,653.81,682.72
45536.13,20180507_1656_37,96.14,499.10,595.24,0.0094,0.0085,0.0087,20180425_0817_38,20180507_1656_37,8,96.14,123.05,149.98,499.10,530.74,537.44,595.24,653.79,682.69
45593.05,20180507_1656_37,96.14,499.15,595.29,0.0062,0.0175,0.0157,20180425_0817_38,20180507_1656_37,8,96.14,122.94,149.61,499.15,530.75,537.44,595.29,653.69,682.32
45650.04,20180507_1656_37,96.17,499.15,595.32,0.0343,0.0162,0.0192,20180425_0817_38,20180507_1656_37,8,96.17,122.91,149.61,499.15,530.74,537.44,595.32,653.65,682.32
45707.10,20180507_1656_37,96.17,499.15,595.32,0.0296,0.0149,0.0173,20180425_0817_38,20180507_1656_37,8,96.17,122.91,149.61,499.15,530.77,537.57,595.32,653.68,682.33
45764.23,20180507_1656_37,96.17,499.16,595.33,0.0281,0.0156,0.0176,20180425_0817_38,20180507_1656_37,8,96.17,122.88,149.36,499.16,530.77,537.57,595.33,653.64,682.08
